"日期","車號","里程","細項","實收金額","備註","","","","","","","","","","","","","","","","","","","",""
"2020/12/4","ENP-3783","31869","RK前齒850，ZOO齒盤墊片500","1350","","","","","","","","","","","","","","","","","","","","",""
"2020/12/7","EPF-0005","","POSI後靠背2480","2480","","","","","","","","","","","","","","","","","","","","",""
"2020/12/7","EQB-2988","587","蜂鷹行車紀錄器+正電引出線=7000","7000","","","","","","","","","","","","","","","","","","","","",""
"2020/12/8","EMF-1859","20821","NCY後碟2100，FRANDO後來令片1000，水行俠2150，ZOO齒盤43T(金)3500，RK前齒850","9600","","","","","","","","","","","","","","","","","","","","",""
"2020/12/10","MND-1089","15169","前輪水行俠2050，後輪CITY2300(優惠價)","4350","","","","","","","","","","","","","","","","","","","","",""
"2020/12/11","EMQ-5517","19348","RK前齒650，ZOO齒盤墊片500，ZOO齒盤3500，(送彈袋)300","4950","","","","","","","","","","","","","","","","","","","","",""
"2020/12/12","EMY-0287","21076","前輪套管650","650","","","","","","","","","","","","","","","","","","","","",""
"2020/12/12","EMQ-0928","16051","機車小U+正電引出線=1250","1250","","","","","","","","","","","","","","","","","","","","",""
"2020/12/12","MJK-7312","18411","ZOO前叉彈簧+ZOO前叉油=2300","2300","","","","","","","","","","","","","","","","","","","","",""
"2020/12/12","MJK-0526","1999","M6162 1900","1900","","","","","","","","","","","","","","","","","","","","",""
"2020/12/12","","","SC 1850 ，白鐵螺母*2=300","2150","","","","","","","","","","","","","","","","","","","","",""
"2020/12/14","EMQ-5222","","烤漆1200，前避震器6900，前輪水行俠2150，","10400","","","","","","","","","","","","","","","","","","","","",""
"2020/12/15","ENP-1085","25386","RK前齒850，降噪螺柱1200，前來令1000，齒盤墊片500","3550","","","","","","","","","","","","","","","","","","","","",""
"2020/12/15","","","前叉彈簧+前叉油=1600","1600","","","","","","","","","","","","","","","","","","","","",""
"2020/12/15","","","ZOO前叉彈簧+前叉油=1600","1600","","","","","","","","","","","","","","","","","","","","",""
"2020/12/17","EMU-3786","11036","ACCOSSATO握把套1100，傑能齒盤座(黑)4230，加油管400","5700","","","","","","","","","","","","","","","","","","","","",""
"2020/12/17","EMQ-8035","","新雅置物箱650","650","","","","","","","","","","","","","","","","","","","","",""
"2020/12/21","EMW-7315","","緞框13500","13500","","","","","","","","","","","","","","","","","","","","",""
"2020/12/21","MHQ-7007","","代工安裝手機架200","200","","","","","","","","","","","","","","","","","","","","",""
"2020/12/21","MJK-7312","18611","新雅中柱1700，加油管700","2400","","","","","","","","","","","","","","","","","","","","",""
"2020/12/22","EMU-3786","11136","翹牌(黑)4000(贈鍍鈦大牌螺絲跟大牌襯板)","4000","","","","","","","","","","","","","","","","","","","","",""
"2020/12/23","MHQ-9190","24182","ZOO前叉彈簧+前叉油=2600","2600","","","","","","","","","","","","","","","","","","","","",""
"2020/12/24","ENP-0393","8601","後箱+貨架=4800，RR後4000，握把套500，加油座400","9700","","","","","","","","","","","","","","","","","","","","",""
"2020/12/25","EPF-5872","12974","水行俠後輪2250、前輪2150，Frando後來令800，BPM後180碟盤1800","7000","","","","","","","","","","","","","","","","","","","","",""
"2020/12/31","ENP-1817","","螺絲800+640+1120，M50 11800，前叉+三角台+素材土除+金/內管 轉向軸承35100","50060","","","109年共526052","","","","","","","","","","","","","","","","","",""
"2021/1/1","EMY-2970","","主腳架1700，墊片500","2200","","","","","","","","","","","","","","","","","","","","",""
"2021/1/1","MNB-5660","18958","五匹手機架1000，DID黃金鍊2850","3850","","","","","","","","","","","","","","","","","","","","",""
"2021/1/1","EMQ-9675","","ZOO翹牌(黑)4000(送後擋板)","4000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/2","MPB-9572","14155","水行俠(前)2150，BPM180m後碟2000，BPM後煞車皮750，齒盤墊片500，後輪套管400，後輪培林650","6450","","","","","","","","","","","","","","","","","","","","",""
"2021/1/2","EMD-7958","36089","後齒3500，前齒800，齒盤墊片500，退役胎一對2500，碟盤2500FRANDO後煞車皮800，","11000","","","","","","","","","","","","","","","","","","","","",""
"2021/1/2","EMD-6067","15251","後齒(保固貼換)1000，退役胎一對2500，BPM前煞車皮600，FRANDO後煞車皮800，前外套筒650，前內套筒200，SKF 650，後齒盤墊片500","6900","","","","","","","","","","","","","","","","","","","","",""
"2021/1/4","ENP-1817","","後擋板150","150","","","","","","","","","","","","","","","","","","","","",""
"2021/1/6","ENP-0393","8892","EV後2100，ZOO齒盤墊片500","2600","","","","","","","","","","","","","","","","","","","","",""
"2021/1/7","EPG-9919","12289","翹牌(黑)4000(贈鍍鈦大牌螺絲)，大牌框1200，後擋板100，EK黑金3500，齒盤墊片500，降噪螺柱1250，蜂鷹行車紀錄器8500，後輪外套管950，M6黑140*4=560，M6紅墊片20*4=80，KOSO鍊條蓋1200","22840","","","","","","","","","","","","","","","","","","","","",""
"2021/1/9","NAV-3770","","(M10*50)*2 320，(M10*30)*2 240，M10紅墊片*4 80，M12紅墊片*2 60，油管墊片*2 100，黑大頭*2 300，煞車油150，卡座+工資 1900","3150","","","","","","","","","","","","","","","","","","","","",""
"2021/1/11","ENT-5952","16276","前齒850，後齒(紅)3500，EK黃金鍊條2850","7200","","","","","","","","","","","","","","","","","","","","",""
"2021/1/13","EMQ-0185","11414","五匹手機架 1200","1200","","","","","","","","","","","","","","","","","","","","",""
"2021/1/13","","","後碟2000，後FRANDO 800","2800","","","","","","","","","","","","","","","","","","","","",""
"2021/1/14","EMG-6969","","前輪CMSR 2300，後輪CMSR 2400，銨科來令片 700","5400","","","","","","","","","","","","","","","","","","","","",""
